iter	Passed	Remaining
1482	49924	17404
1483	49968	17374
1484	50009	17343
1485	50052	17312
1486	50094	17282
1487	50136	17251
1488	50176	17219
1489	50212	17186
1490	50247	17153
1491	50282	17120
1492	50316	17086
1493	50353	17054
1494	50386	17020
1495	50420	16986
1496	50455	16953
1497	50489	16919
1498	50523	16885
1499	50556	16852
1500	50587	16817
1501	50619	16783
1502	50652	16749
1503	50686	16715
1504	50719	16681
1505	50753	16648
1506	50786	16614
1507	50817	16579
1508	50850	16545
1509	50882	16511
1510	50914	16477
1511	50946	16442
1512	50978	16408
1513	51010	16374
1514	51043	16340
1515	51075	16306
1516	51108	16272
1517	51142	16238
1518	51174	16204
1519	51207	16170
1520	51240	16136
1521	51273	16102
1522	51303	16068
1523	51334	16033
1524	51367	15999
1525	51399	15965
1526	51433	15931
1527	51466	15898
1528	51499	15864
1529	51531	15829
1530	51565	15796
1531	51597	15762
1532	51630	15728
1533	51667	15695
1534	51701	15661
1535	51734	15628
1536	51769	15594
1537	51802	15561
1538	51836	15527
1539	51869	15493
1540	51902	15459
1541	51937	15426
1542	51970	15392
1543	52003	15358
1544	52036	15324
1545	52068	15290
1546	52099	15256
1547	52132	15222
1548	52165	15188
1549	52198	15154
1550	52230	15120
1551	52263	15086
1552	52297	15052
1553	52330	15018
1554	52364	14985
1555	52412	14955
1556	52446	14922
1557	52480	14888
1558	52512	14854
1559	52544	14820
1560	52577	14786
1561	52611	14752
1562	52643	14718
1563	52674	14684
1564	52706	14649
1565	52737	14615
1566	52771	14581
1567	52804	14548
1568	52837	14514
1569	52869	14480
1570	52903	14446
1571	52935	14412
1572	52968	14378
1573	53003	14345
1574	53037	14311
1575	53071	14278
1576	53105	14244
1577	53139	14210
1578	53170	14176
1579	53203	14142
1580	53238	14109
1581	53271	14075
1582	53306	14042
1583	53340	14008
1584	53373	13974
1585	53407	13941
1586	53441	13907
1587	53476	13874
1588	53509	13840
1589	53543	13806
1590	53576	13772
1591	53610	13739
1592	53643	13705
1593	53677	13671
1594	53713	13638
1595	53746	13604
1596	53779	13571
1597	53812	13537
1598	53847	13503
1599	53880	13470
1600	53914	13436
1601	53948	13402
1602	53981	13369
1603	54020	13336
1604	54062	13305
1605	54098	13272
1606	54137	13239
1607	54172	13206
1608	54206	13172
1609	54239	13138
1610	54272	13104
1611	54304	13070
1612	54337	13037
1613	54370	13003
1614	54403	12969
1615	54438	12935
1616	54473	12902
1617	54507	12868
1618	54540	12834
1619	54573	12801
1620	54606	12767
1621	54638	12733
1622	54670	12699
1623	54701	12664
1624	54733	12630
1625	54765	12596
1626	54796	12562
1627	54829	12528
1628	54860	12494
1629	54893	12460
1630	54926	12426
1631	54957	12392
1632	54989	12358
1633	55022	12324
1634	55055	12290
1635	55091	12257
1636	55126	12224
1637	55163	12191
1638	55197	12157
1639	55230	12123
1640	55263	12089
1641	55297	12056
1642	55331	12022
1643	55362	11988
1644	55394	11954
1645	55426	11920
1646	55458	11886
1647	55490	11852
1648	55521	11818
1649	55552	11783
1650	55583	11749
1651	55615	11715
1652	55647	11681
1653	55680	11647
1654	55712	11613
1655	55743	11579
1656	55776	11545
1657	55807	11511
1658	55840	11477
1659	55876	11444
1660	55911	11411
1661	55943	11377
1662	55977	11343
1663	56008	11309
